Code EAN article;Code interne;Libell‚ long article;Code rayon;Code famille;Code sous-famille;Code marque;Code du fournisseur;R‚f‚rence fournisseur;Code TVA;Prix d?achat ht brut;Taux de remise;Frais montant;Frais taux;Prix de vente ttc;Unit‚ de mesure;Coefficient unit‚ de mesure;Conditionnement achat;R‚appro mini;R‚appro d‚lai;Article pesable?;Tarif1 ttc supl;Tarif2 ttc supl;Tarif3 ttc supl;Tarif4 ttc supl;Libell‚ court (caisse);Article bloqu‚ en vente;Article bloqu‚ en achat;Promo du;Promo au;Prix promo ht;Prix promo ttc
3264030000000    ;560062;ABRICOTS CAT.2 IMPORT         ;56;645;1;MN;36;0;2;4.8;;;;5.04;Kg;1;1;;;1;;;;;ABRICOTS CAT.2 IMPORT         ;;0;;;;
265035000000    ;561418;MANGUE POMME LOCALE           ;56;645;17;MS;20005;0;2;1.5;;;;2.35;Kg;1;1;;;1;;;;;MANGUE POMME LOCALE           ;;0;;;;
2104    ;562104;BQT PETITE TOMATE LOCALE 1KG  ;56;640;25;MN;1078;0;2;1.6;;;;4.36;Kg;1;1;;;0;;;;;BQT PETITE TOMATE LOCALE 1KG  ;;0;;;;
3770010000000    ;562104;BQT PETITE TOMATE LOCALE 1KG  ;56;640;25;MN;1078;0;2;1.6;;;;4.36;Kg;1;1;;;0;;;;;BQT PETITE TOMATE LOCALE 1KG  ;;0;;;;
9418    ;560703;MADERE CARAIBES               ;56;640;31;MN;1078;0;2;2;;;;3.23;Kg;1;1;;;1;;;;;MADERE CARAIBES               ;;0;;;;
256216000000    ;560186;HARICOTS VERTS CARAIBES       ;56;640;15;MN;20148;0;2;2;;;;3.75;Kg;1;1;;;1;;;;;HARICOTS VERTS CARAIBES       ;;0;;;;
5863    ;560949;KA MANIOC CARAIBES            ;56;640;31;MN;390;0;2;2;;;;2.8;Kg;1;1;;;1;;;;;KA MANIOC CARAIBES            ;;0;;;;
5905670000000    ;272604;BROCHETTE POULET 900G         ;27;750;3;MN;3;0;2;6.08;;;;8.65;Kg;0.9;13;;;0;;;;;BROCHETTE POULET 900G         ;;0;;;;
3329120000000    ;118423; DIDIER MOJIT'EAU FRAISE 50 CL;11;235;5;MN;60;0;2;0.66;;;;0.85;L;0.5;8;;;0;;;;; DIDIER MOJIT'EAU FRAISE 50 CL;;1;;;;
3338480000000    ;114954;CABERNET ANJOU ROSE 75CL      ;11;205;2;MN;20706;0;3;5.65;;;;8.1;L;0.75;6;;;0;;;;;CABERNET ANJOU ROSE 75CL      ;;0;;;;
